Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
,,,,(stations / charging outlets,(retail / non-retail / total),,(primary / secondary / total),,
,,,,Level 1 / Level 2 / DC Fast),,,,,
Alabama,5,32,32,113 | 227,0 | 0 | 0,2,2 | 90 | 92,0,390
,,,,23 | 169 | 35,,,,,
Alaska,0,1,0,3 | 5,0 | 0 | 0,0,0 | 7 | 7,0,13
,,,,0 | 5 | 0,,,,,
Arizona,76,36,25,424 | 988,0 | 0 | 0,8,15 | 78 | 93,0,1226
,,,,5 | 854 | 129,,,,,
Arkansas,5,17,44,63 | 89,0 | 0 | 0,1,1 | 44 | 45,0,201
,,,,7 | 81 | 1,,,,,
California,42,319,119,"4,184 | 13,655",25 | 14 | 39,44,34 | 288 | 322,0,14540
,,,,"1,029 | 11,582 | 1,044",,,,,
Colorado,16,46,88,445 | 978,0 | 1 | 1,1,0 | 59 | 59,0,1189
,,,,61 | 822 | 95,,,,,
Connecticut,3,19,4,341 | 725,0 | 2 | 2,1,3 | 19 | 22,0,776
,,,,47 | 619 | 59,,,,,
Delaware,1,1,1,30 | 67,0 | 1 | 1,0,5 | 4 | 9,0,80
,,,,4 | 49 | 14,,,,,
District of Columbia,8,3,4,102 | 241,0 | 1 | 1,0,0 | 0 | 0,0,257
,,,,47 | 192 | 2,,,,,
Florida,14,57,74,"965 | 2,091",0 | 0 | 0,3,6 | 147 | 153,0,2392
,,,,"335 | 1,559 | 197",,,,,
Georgia,24,48,56,"591 | 1,493",0 | 0 | 0,4,6 | 90 | 96,0,1721
,,,,"171 | 2,303 | 418",,,,,
Hawaii,8,1,2,249 | 566,0 | 4 | 4,0,1 | 5 | 6,0,587
,,,,23 | 488 | 55,,,,,
Idaho,2,11,6,60 | 133,0 | 0 | 0,6,4 | 30 | 34,0,192
,,,,2 | 92 | 39,,,,,
Illinois,12,56,263,"524 | 1,109",0 | 1 | 1,2,42 | 81 | 123,0,1566
,,,,47 | 943 | 119,,,,,
Indiana,6,35,200,196 | 388,0 | 0 | 0,2,11 | 178 | 189,0,820
,,,,9 | 317 | 62,,,,,
Iowa,9,10,210,109 | 216,0 | 0 | 0,0,3 | 32 | 35,0,480
,,,,33 | 151 | 32,,,,,
Kansas,5,20,21,197 | 725,0 | 0 | 0,1,1 | 40 | 41,0,813
,,,,7 | 674 | 44,,,,,
Kentucky,4,11,72,82 | 167,0 | 0 | 0,1,2 | 36 | 38,0,293
,,,,16 | 120 | 31,,,,,
Louisiana,2,22,11,79 | 155,0 | 0 | 0,2,4 | 46 | 50,0,242
,,,,7 | 103 | 45,,,,,
