Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
,,,,(stations / charging outlets,(retail / non-retail / total),,(primary / secondary / total),,
,,,,Level 1 / Level 2 / DC Fast),,,,,
Alabama,9,29,40,165 | 395,0 | 0 | 0,3,3 | 79 | 82,0,558
,,,,72 | 261 | 62,,,,,
Alaska,0,1,0,7 | 11,0 | 0 | 0,0,0 | 6 | 6,0,18
,,,,0 | 11 | 0,,,,,
Arizona,77,28,22,"480 | 1,227",0 | 0 | 0,8,20 | 66 | 86,0,1448
,,,,3 | 996 | 228,,,,,
Arkansas,3,14,43,70 | 124,0 | 0 | 0,1,1 | 38 | 39,0,224
,,,,3 | 101 | 20,,,,,
California,29,322,161,"5,480 | 21,166",36 | 6 | 42,47,54 | 238 | 292,0,22059
,,,,"641 | 17,778 | 2,657",,,,,
Colorado,13,41,81,"707 | 1,788",0 | 1 | 1,1,3 | 54 | 57,0,1982
,,,,"78 | 1,499 | 211",,,,,
Connecticut,2,21,4,383 | 837,0 | 2 | 2,1,6 | 16 | 22,0,889
,,,,37 | 670 | 129,,,,,
Delaware,1,1,1,50 | 133,0 | 1 | 1,0,5 | 3 | 8,0,145
,,,,2 | 80 | 51,,,,,
District of Columbia,7,2,3,124 | 337,0 | 1 | 1,0,0 | 0 | 0,0,350
,,,,43 | 290 | 4,,,,,
Florida,14,56,88,"1,265 | 3,027",0 | 0 | 0,3,13 | 126 | 139,0,3327
,,,,"215 | 2,373 | 439",,,,,
Georgia,23,51,54,"772 | 2,188",0 | 0 | 0,4,13 | 77 | 90,0,2410
,,,,"155 | 1,762 | 271",,,,,
Hawaii,6,0,2,278 | 536,1 | 4 | 5,1,0 | 4 | 4,0,554
,,,,9 | 445 | 81,,,,,
Idaho,0,11,6,87 | 174,0 | 0 | 0,0,2 | 30 | 32,0,223
,,,,2 | 130 | 42,,,,,
Illinois,22,46,280,"579 | 1,399",0 | 0 | 0,2,34 | 70 | 104,0,1853
,,,,"33 | 1,133 | 233",,,,,
Indiana,5,33,211,225 | 489,0 | 0 | 0,1,14 | 51 | 65,0,804
,,,,0 | 381 | 108,,,,,
Iowa,10,10,267,129 | 296,0 | 0 | 0,0,3 | 30 | 33,0,616
,,,,27 | 215 | 54,,,,,
Kansas,1,23,26,198 | 783,0 | 0 | 0,1,2 | 37 | 39,0,873
,,,,6 | 711 | 66,,,,,
Kentucky,3,10,74,114 | 221,0 | 0 | 0,2,2 | 32 | 34,0,344
,,,,8 | 164 | 49,,,,,
Louisiana,6,23,12,102 | 213,0 | 0 | 0,1,18 | 47 | 65,0,320
,,,,5 | 152 | 56,,,,,
