Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
,,,,(stations / charging outlets,(retail / non-retail / total),,(primary / secondary / total),,
,,,,Level 1 / Level 2 / DC Fast),,,,,
Alabama,10,28,31,327 | 851,0 | 0 | 0,2,29 | 33 | 62,0,984
,,,,35 | 578 | 238,,,,,
Alaska,0,1,0,61 | 113,0 | 0 | 0,0,1 | 1 | 2,0,116
,,,,3 | 81 | 29,,,,,
Arizona,76,28,18,"984 | 2,661",0 | 1 | 1,5,38 | 27 | 65,0,"2,854"
,,,,"9 | 2,043 | 609",,,,,
Arkansas,17,11,74,218 | 590,0 | 0 | 0,0,17 | 19 | 36,0,728
,,,,3 | 509 | 78,,,,,
California,33,312,331,"14,609 | 43,589",51 | 6 | 57,40,128 | 118 | 246,0,"44,608"
,,,,"559 | 34,366 | 8,634",,,,,
Colorado,5,27,95,"1,787 | 4,408",0 | 1 | 1,1,27 | 22 | 49,0,"4,586"
,,,,"90 | 3,585 | 733",,,,,
Connecticut,1,13,3,"598 | 1,643",0 | 0 | 0,0,8 | 10 | 18,0,"1,678"
,,,,"67 | 1,225 | 349",,,,,
Delaware,0,2,2,156 | 367,0 | 1 | 1,0,7 | 12 | 19,0,391
,,,,5 | 257 | 105,,,,,
District of Columbia,9,3,4,301 | 972,0 | 0 | 0,0,0 | 6 | 6,0,994
,,,,43 | 891 | 38,,,,,
Florida,5,52,144,"2,923 | 7,818",0 | 0 | 0,3,74 | 51 | 125,0,"8,147"
,,,,"364 | 5,827 | 1,627",,,,,
Georgia,3,42,59,"1,552 | 4,131",0 | 0 | 0,4,43 | 37 | 80,0,"4,319"
,,,,"230 | 3,106 | 795",,,,,
Hawaii,11,0,1,405 | 938,1 | 1 | 2,0,1 | 0 | 1,0,953
,,,,30 | 831 | 77,,,,,
Idaho,0,11,4,155 | 382,0 | 0 | 0,0,10 | 12 | 22,0,419
,,,,10 | 285 | 87,,,,,
Illinois,111,36,294,"1,342 | 3,351",0 | 0 | 0,2,41 | 44 | 85,0,"3,879"
,,,,"50 | 2,615 | 686",,,,,
Indiana,14,20,240,"404 | 1,093",0 | 0 | 0,1,25 | 23 | 48,0,"1,416"
,,,,8 | 747 | 338,,,,,
Iowa,272,9,346,305 | 659,0 | 0 | 0,0,25 | 9 | 34,0,"1,320"
,,,,4 | 420 | 235,,,,,
Kansas,11,19,73,"489 | 1,045",0 | 0 | 0,1,9 | 27 | 36,0,"1,185"
,,,,14 | 878 | 153,,,,,
Kentucky,1,7,73,256 | 629,0 | 0 | 0,1,4 | 15 | 19,0,730
,,,,24 | 494 | 111,,,,,
