Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
,,,,(stations / charging outlets,(retail / non-retail / total),,(primary / secondary / total),,
,,,,Level 1 / Level 2 / DC Fast),,,,,
Alabama,9,28,34,"424 | 1,096",0 | 0 | 0,2,25 | 36 | 61,0,"1,230"
,,,,35 | 704 | 357,,,,,
Alaska,0,0,0,65 | 124,0 | 0 | 0,0,1 | 0 | 1,0,125
,,,,3 | 87 | 34,,,,,
Arizona,77,26,21,"1,198 | 3,506",0 | 0 | 0,5,42 | 30 | 72,0,"3,707"
,,,,"9 | 2,478 | 1,019",,,,,
Arkansas,34,14,74,334 | 833,0 | 0 | 0,0,17 | 17 | 34,0,989
,,,,3 | 709 | 121,,,,,
California,48,292,369,"16,381 | 49,433",57 | 7 | 64,39,136 | 119 | 255,597,"51,097"
,,,,"648 | 38,217 | 10,548",,,,,
Colorado,5,25,95,"2,165 | 5,432",0 | 1 | 1,1,28 | 26 | 54,0,"5,613"
,,,,"90 | 4,414 | 928",,,,,
Connecticut,1,13,3,"865 | 2,547",0 | 0 | 0,0,5 | 15 | 20,0,"2,584"
,,,,"64 | 2,065 | 417",,,,,
Delaware,0,3,2,197 | 523,0 | 1 | 1,0,7 | 12 | 19,0,548
,,,,5 | 321 | 197,,,,,
District of Columbia,9,2,4,"369 | 1,158",0 | 0 | 0,0,0 | 6 | 6,0,"1,179"
,,,,"26 | 1,081 | 51",,,,,
Florida,5,64,150,"3,430 | 9,763",0 | 0 | 0,3,74 | 52 | 126,0,"10,111"
,,,,"364 | 7,235 | 2,164",,,,,
Georgia,3,49,73,"1,886 | 4,994",0 | 0 | 0,3,36 | 48 | 84,0,"5,206"
,,,,"230 | 3,675 | 1,089",,,,,
Hawaii,11,0,1,384 | 860,1 | 1 | 2,0,1 | 0 | 1,0,875
,,,,26 | 766 | 68,,,,,
Idaho,0,11,4,205 | 517,0 | 0 | 0,0,9 | 12 | 21,1,554
,,,,10 | 371 | 136,,,,,
Illinois,474,38,286,"1,337 | 3,510",0 | 0 | 0,2,43 | 44 | 87,0,"4,397"
,,,,"51 | 2,489 | 970",,,,,
Indiana,34,32,240,"565 | 1,533",0 | 0 | 0,1,27 | 21 | 48,0,"1,888"
,,,,"8 | 1,017 | 508",,,,,
Iowa,327,9,342,371 | 855,0 | 0 | 0,0,26 | 8 | 34,0,"1,567"
,,,,4 | 544 | 307,,,,,
Kansas,21,21,67,"547 | 1,196",0 | 0 | 0,1,8 | 27 | 35,0,"1,341"
,,,,14 | 960 | 222,,,,,
Kentucky,1,8,76,328 | 849,0 | 0 | 0,1,7 | 13 | 20,0,955
