Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
,,,,(stations / charging outlets,(retail / non-retail / total),,(primary / secondary / total),,
,,,,Level 1 / Level 2 / DC Fast),,,,,
Alabama,5,33,39,145 | 319,0 | 0 | 0,3,6 | 83 | 89,0,488
,,,,47 | 221 | 51,,,,,
Alaska,0,1,0,7 | 11,0 | 0 | 0,0,0 | 7 | 7,0,19
,,,,0 | 11 | 0,,,,,
Arizona,76,30,21,"432 | 1,041",0 | 0 | 0,8,22 | 67 | 89,0,1265
,,,,3 | 907 | 131,,,,,
Arkansas,4,16,43,62 | 112,0 | 0 | 0,1,0 | 40 | 40,0,216
,,,,6 | 96 | 10,,,,,
California,36,322,146,"4,683 | 16,111",31 | 11 | 42,44,44 | 251 | 295,0,16996
,,,,"854 | 13,982 | 1,196",,,,,
Colorado,16,42,91,"567 | 1,401",0 | 1 | 1,1,3 | 53 | 56,0,1608
,,,,"92 | 1,188 | 121",,,,,
Connecticut,2,21,4,358 | 782,0 | 2 | 2,1,3 | 17 | 20,0,832
,,,,45 | 654 | 81,,,,,
Delaware,1,1,1,41 | 113,0 | 1 | 1,0,6 | 3 | 9,0,126
,,,,2 | 74 | 37,,,,,
District of Columbia,7,2,3,97 | 264,0 | 1 | 1,0,0 | 0 | 0,0,277
,,,,45 | 217 | 2,,,,,
Florida,14,59,82,"1,134 | 2,508",0 | 0 | 0,3,13 | 127 | 140,0,2806
,,,,"275 | 2,015 | 218",,,,,
Georgia,23,48,53,"698 | 1,882",0 | 0 | 0,4,17 | 75 | 92,0,2102
,,,,"166 | 1,504 | 212",,,,,
Hawaii,8,1,2,275 | 626,0 | 4 | 4,0,0 | 5 | 5,0,646
,,,,21 | 534 | 70,,,,,
Idaho,2,11,5,77 | 171,0 | 0 | 0,2,0 | 31 | 31,0,222
,,,,2 | 126 | 43,,,,,
Illinois,14,47,270,"543 | 1,205",0 | 1 | 1,2,48 | 73 | 121,0,1660
,,,,"38 | 1,045 | 122",,,,,
Indiana,6,35,204,198 | 399,0 | 0 | 0,1,14 | 171 | 185,0,830
,,,,1 | 337 | 61,,,,,
Iowa,9,9,247,117 | 258,0 | 0 | 0,0,1 | 32 | 33,0,556
,,,,33 | 185 | 40,,,,,
Kansas,3,23,20,194 | 742,0 | 0 | 0,1,2 | 36 | 38,0,827
,,,,7 | 691 | 44,,,,,
Kentucky,5,12,73,95 | 191,0 | 0 | 0,2,2 | 34 | 36,0,319
,,,,8 | 143 | 40,,,,,
Louisiana,7,25,12,88 | 195,0 | 0 | 0,1,26 | 49 | 75,0,315
,,,,8 | 142 | 45,,,,,
