Station Counts by State and Fuel Type,,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Renewable Diesel,Totald
,,,,(stations / charging outlets,(retail / non-retail / total),,(primary / secondary / total),,
,,,,Level 1 / Level 2 / DC Fast),,,,,
Alabama,10,27,34,195 | 506,0 | 0 | 0,2,25 | 47 | 72,0,651
,,,,56 | 385 | 65,,,,,
Alaska,0,1,0,19 | 34,0 | 0 | 0,0,1 | 4 | 5,0,40
,,,,0 | 30 | 4,,,,,
Arizona,78,30,22,"522 | 1,476",0 | 1 | 1,8,24 | 51 | 75,0,1690
,,,,"3 | 1,169 | 304",,,,,
Arkansas,3,16,47,98 | 290,0 | 0 | 0,1,7 | 30 | 37,0,394
,,,,2 | 252 | 36,,,,,
California,29,321,195,"6,439 | 27,199",43 | 5 | 48,44,70 | 203 | 273,0,28109
,,,,"532 | 22,933 | 3,661",,,,,
Colorado,8,35,84,"861 | 2,516",0 | 1 | 1,1,12 | 40 | 52,0,2697
,,,,"72 | 2,195 | 249",,,,,
Connecticut,2,17,3,"422 | 1,048",0 | 2 | 2,0,10 | 11 | 21,0,1093
,,,,76 | 814 | 157,,,,,
Delaware,1,2,1,57 | 172,0 | 1 | 1,0,3 | 6 | 9,0,186
,,,,2 | 117 | 53,,,,,
District of Columbia,7,2,3,172 | 553,0 | 1 | 1,0,0 | 0 | 0,0,566
,,,,50 | 502 | 1,,,,,
Florida,10,61,88,"1,562 | 4,562",0 | 0 | 0,3,19 | 115 | 134,0,4858
,,,,"305 | 3,622 | 635",,,,,
Georgia,6,50,52,"882 | 2,939",0 | 0 | 0,4,29 | 60 | 89,0,3140
,,,,"196 | 2,395 | 348",,,,,
Hawaii,7,0,2,296 | 666,1 | 1 | 2,1,0 | 2 | 2,0,680
,,,,14 | 575 | 77,,,,,
Idaho,0,11,4,95 | 216,0 | 0 | 0,0,8 | 22 | 30,0,261
,,,,2 | 147 | 67,,,,,
Illinois,19,42,279,"663 | 1,864",0 | 0 | 0,2,34 | 66 | 100,0,2306
,,,,"44 | 1,537 | 283",,,,,
Indiana,3,34,221,239 | 614,0 | 0 | 0,1,19 | 46 | 65,0,938
,,,,0 | 477 | 137,,,,,
Iowa,11,11,300,141 | 348,0 | 0 | 0,0,9 | 25 | 34,0,704
,,,,27 | 234 | 87,,,,,
Kansas,1,21,38,234 | 904,0 | 0 | 0,1,3 | 34 | 37,0,1002
,,,,4 | 795 | 105,,,,,
Kentucky,3,10,71,133 | 315,0 | 0 | 0,2,4 | 28 | 32,0,433
,,,,8 | 247 | 60,,,,,
Louisiana,2,23,14,107 | 293,0 | 0 | 0,1,7 | 52 | 59,0,392
,,,,18 | 215 | 60,,,,,
